numero|legislature
1|17/06/1789 - 30/09/1791 ;  Assemblée nationale constituante
2|01/10/1791 - 20/09/1792 ;  Assemblée nationale législative
3|21/09/1792 - 26/10/1795 ;  Convention nationale
4|27/10/1795 - 26/12/1799 ;  Conseil des Cinq-Cents
5|01/01/1800 - 04/06/1814 ;  Corps législatif
12|04/06/1814 - 20/03/1815 ;  Chambre des députés des départements
6|03/06/1815 - 13/07/1815 ;  Chambre des représentants
7|07/10/1815 - 05/09/1816 ;  Ire législature
8|04/11/1816 - 24/12/1823 ;  IIe législature
9|23/03/1824 - 05/11/1827 ;  IIIe législature
10|05/02/1828 - 16/05/1830 ;  IVe législature
13|23/06/1830 - 31/05/1831 ;  Ire législature
14|23/06/1831 - 25/05/1834 ;  IIe législature
15|31/07/1834 - 03/10/1837 ;  IIIe législature
16|18/12/1837 - 02/02/1839 ;  IVe législature
17|04/04/1839 - 12/06/1842 ;  Ve législature
18|26/07/1842 - 06/07/1846 ;  VIe législature
19|17/08/1846 - 24/02/1848 ;  VIIe législature
20|04/05/1848 - 26/05/1849 ;  Assemblée nationale constituante
21|28/05/1849 - 02/12/1851 ;  Assemblée nationale législative
22|29/03/1852 - 27/11/1857 ;  Ire législature
23|28/11/1857 - 04/11/1863 ;  IIe législature
24|05/11/1863 - 27/04/1869 ;  IIIe législature
25|28/06/1869 - 04/09/1870 ;  IVe législature
26|12/02/1871 - 07/03/1876 ;  
27|08/03/1876 - 25/06/1877 ;  Ire législature
28|07/11/1877 - 27/10/1881 ;  IIe législature
29|28/10/1881 - 09/11/1885 ;  IIIe législature
30|10/11/1885 - 11/11/1889 ;  IVe législature
31|12/11/1889 - 14/10/1893 ;  Ve législature
32|15/10/1893 - 31/05/1898 ;  VIe législature
33|01/06/1898 - 31/05/1902 ;  VIIe législature
34|01/06/1902 - 31/05/1906 ;  VIIIe législature
35|01/06/1906 - 31/05/1910 ;  IXe législature
36|01/06/1910 - 31/05/1914 ;  Xe législature
37|01/06/1914 - 07/12/1919 ;  XIe législature
38|08/12/1919 - 31/05/1924 ;  XIIe législature
39|01/06/1924 - 31/05/1928 ;  XIIIe législature
40|01/06/1928 - 31/05/1932 ;  XIVe législature
41|01/06/1932 - 31/05/1936 ;  XVe législature
42|01/06/1936 - 31/05/1942 ;  XVIe législature
43|06/11/1945 - 10/06/1946 ;  Ire Assemblée nationale constituante
44|11/06/1946 - 27/11/1946 ;  2e Assemblée nationale constituante
45|28/11/1946 - 04/07/1951 ;  Ire législature
46|05/07/1951 - 01/12/1955 ;  IIe législature
47|19/01/1956 - 08/12/1958 ;  IIIe législature
48|09/12/1958 - 09/10/1962 ;  Ire législature
49|06/12/1962 - 02/04/1967 ;  IIe législature
50|03/04/1967 - 30/05/1968 ;  IIIe législature
51|11/07/1968 - 01/04/1973 ;  IVe législature
52|02/04/1973 - 02/04/1978 ;  Ve législature
53|03/04/1978 - 22/05/1981 ;  VIe législature
54|02/07/1981 - 01/04/1986 ;  VIIe législature
55|02/04/1986 - 14/05/1988 ;  VIIIe législature
56|23/06/1988 - 01/04/1993 ;  IXe législature
57|02/04/1993 - 21/04/1997 ;  Xe législature
58|01/06/1997 - 18/06/2002 ;  XIe législature
59|19/06/2002 - 25/06/2007 ;  XIIe législature
60|26/06/2007 - 19/06/2012 ;  XIIIe législature
61|20/06/2012 - 20/06/2017 ;  XIVe législature
62|21/06/2017 - 17/04/2020 ;  XVe législature
